field_1,MonitoringLocationIdentifier,lat,lon
"14841",42SRBCWQ_WQX-SUSQ338.9-4275,42.0947222,-75.8380556
"14833",42SRBCWQ_WQX-SUSQ288.2-00000,41.9699,-76.51192
"14834",42SRBCWQ_WQX-SUSQ289.1-4176,41.9811111,-76.5075
"14836",42SRBCWQ_WQX-SUSQ300.0-4176,41.9819444,-76.5063889
"8705",21NYDECA_WQX-06030006,42.0280556,-76.3847222
"14839",42SRBCWQ_WQX-SUSQ327.0-4276,42.0652778,-76.1425
"14821",42SRBCWQ_WQX-SUSQ202.3-00000,41.38492,-75.80537
"12706",21PA_WQX-FALLS4,41.4542,-75.8514
"12707",21PA_WQX-FALLS5,41.4542,-75.8511
"12705",21PA_WQX-FALLS3,41.4542,-75.8519
"14822",42SRBCWQ_WQX-SUSQ209.1-4175,41.4602778,-75.8533333
"13200",21PA_WQX-WQN0323,41.4619,-75.8542
"23104",USGS-01534090,41.4617443,-75.8538073
"14824",42SRBCWQ_WQX-SUSQ228.0-4176,41.5338889,-76.0361111
"14825",42SRBCWQ_WQX-SUSQ231.8-4176,41.5755556,-76.0586111
"14826",42SRBCWQ_WQX-SUSQ234.0-4176,41.6099,-76.0509
"12879",21PA_WQX-MESH3,41.6075,-76.0486
"12880",21PA_WQX-MESH6,41.6081,-76.0481
"14831",42SRBCWQ_WQX-SUSQ273.0-4176,41.7672222,-76.44
"13065",21PA_WQX-TOWANDA4,41.7633,-76.44
"12679",21PA_WQX-DAN4,40.9575,-76.6217
"12680",21PA_WQX-DAN6,40.9586,-76.6211
"14810",42SRBCWQ_WQX-SUSQ138.0-4076,40.9422,-76.6011
"14812",42SRBCWQ_WQX-SUSQ149.0-4076,40.9935,-76.4369
"12571",21PA_WQX-BER5,41.0531,-76.2286
"12570",21PA_WQX-BER4,41.0539,-76.2289
"14816",42SRBCWQ_WQX-SUSQ174.0-4176,41.1774,-76.1085
"13008",21PA_WQX-SHICK2,41.1456,-76.1469
"13009",21PA_WQX-SHICK4,41.1456,-76.1456
"14819",42SRBCWQ_WQX-SUSQ192.0-4175,41.25,-75.8845
"13190",21PA_WQX-WQN0302,41.2492,-75.885
"13133",21PA_WQX-WILKES3,41.2586,-75.8753
"14807",42SRBCWQ_WQX-SUSQ126.3-4076,40.8802778,-76.7866667
"14808",42SRBCWQ_WQX-SUSQ134.5-4076,40.9488889,-76.6652778
"13093",21PA_WQX-UPSINM_WB2,41.2436,-77.9097
"13094",21PA_WQX-UPSINM_WB3,41.2439,-77.9097
"13095",21PA_WQX-UPSINM_WB4,41.2439,-77.91
"13096",21PA_WQX-UPSINM_WB5,41.2442,-77.91
"12800",21PA_WQX-KAR6,41.1172,-78.1092
"12802",21PA_WQX-KAR8,41.1172,-78.1094
"12801",21PA_WQX-KAR7,41.1172,-78.1094
"12799",21PA_WQX-KAR5,41.1169,-78.1092
"12798",21PA_WQX-KAR4,41.1169,-78.1089
"12797",21PA_WQX-KAR3,41.1167,-78.1089
"12796",21PA_WQX-KAR2,41.1167,-78.1086
"13214",21PA_WQX-WQN0404,41.1167,-78.1086
"12674",21PA_WQX-COUDLEY4,41.0772,-78.2297
"14941",42SRBCWQ_WQX-WBSR148.9-4178,41.0780556,-78.2352778
"12986",21PA_WQX-SHAWDWS4,41.0689,-78.3611
"12985",21PA_WQX-SHAWDWS2,41.0689,-78.3611
"12987",21PA_WQX-SHAWDWS5,41.0692,-78.3611
"12989",21PA_WQX-SHAWUPS3,41.0492,-78.3808
"12988",21PA_WQX-SHAWUPS2,41.0492,-78.3808
"12990",21PA_WQX-SHAWUPS4,41.0494,-78.3808
"14942",42SRBCWQ_WQX-WBSR172.3-4178,41.0325,-78.4336111
"14943",42SRBCWQ_WQX-WBSR175.0-4178,41.0044444,-78.4569444
"13225",21PA_WQX-WQN0422,40.9858,-78.4058
"23110",USGS-01541500,40.9717241,-78.4058533
"14940",42SRBCWQ_WQX-WBSR110.0-4177,41.2608333,-77.9011111
"14938",42SRBCWQ_WQX-WBSR085.0-4177,41.319686,-77.632478
"12910",21PA_WQX-NBWB2,41.3233,-77.6347
"12911",21PA_WQX-NBWB3,41.3236,-77.6347
"12912",21PA_WQX-NBWB4,41.3236,-77.6344
"14939",42SRBCWQ_WQX-WBSR091.0-4177,41.33,-77.6472222
"12690",21PA_WQX-DWSINN_WB4,41.2644,-77.9036
"12689",21PA_WQX-DWSINN_WB2,41.2647,-77.9031
"12886",21PA_WQX-MIL3,41.0136,-76.8647
"12885",21PA_WQX-MIL2.5,41.0139,-76.865
"12884",21PA_WQX-MIL2,41.0139,-76.8653
"13213",21PA_WQX-WQN0402,41.2289,-77.0189
"12582",21PA_WQX-BILLDAM7,41.2353,-77.0025
"12581",21PA_WQX-BILLDAM4,41.235,-77.0017
"12580",21PA_WQX-BILLDAM3,41.2347,-77.0014
"12775",21PA_WQX-JS7,41.2025,-77.2522
"13237",21PA_WQX-WQN0448,41.2022,-77.2519
"14931",42SRBCWQ_WQX-WBSR000.0-4076,40.8838889,-76.7983333
"12623",21PA_WQX-CI6,40.4728,-76.9383
"12575",21PA_WQX-BI8,40.6497,-76.9114
"14805",42SRBCWQ_WQX-SUSQ122.0-4076,40.8413889,-76.8119444
"13145",21PA_WQX-WQN0203,40.8514,-76.8069
"12611",21PA_WQX-CF7,40.3994,-77.0092
"14569",42SRBCWQ_WQX-JUNR094.0-4078,40.4861111,-78.0194444
"14531",42SRBCWQ_WQX-FRNK000.2-4078,40.56093,-78.07125
"12719",21PA_WQX-FRANKSTOWNCA,40.5417,-78.09
