"","MonitoringLocationIdentifier","lat","lon"
"102","1119USBR_WQX-CWHC07",44.6212778,-116.0534167
"103","1119USBR_WQX-CWHS01",44.6361111,-116.0677778
"104","1119USBR_WQX-CWHS05",44.6266389,-116.0590556
"105","1119USBR_WQX-CWIP01",44.7885278,-116.0456111
"106","1119USBR_WQX-CWIP05",44.7876389,-116.0432222
"107","1119USBR_WQX-CWOH01",44.6375,-116.07625
"108","1119USBR_WQX-CWOH02",44.6455556,-116.0716111
"109","1119USBR_WQX-CWOH03",44.6364722,-116.0662778
"110","1119USBR_WQX-CWOH05",44.6160556,-116.0670556
"111","1119USBR_WQX-DEA101",44.29304,-115.656482
"112","1119USBR_WQX-DEA102",44.3388888,-115.6561111
"113","1119USBR_WQX-DEA104",44.2827777,-115.6716666
"114","1119USBR_WQX-DEA106",44.2788888,-115.6319444
"115","1119USBR_WQX-DEA107",44.2929666,-115.6396333
"116","1119USBR_WQX-DEA108",44.0805555,-115.6594444
"117","1119USBR_WQX-DEA109",44.2806666,-115.6300332
"118","1119USBR_WQX-DEA112",44.14143,-115.65483
"119","1119USBR_WQX-DEA113",44.26667,-115.63333
"120","1119USBR_WQX-DEA114",46.14546,-116.78691
"121","1119USBR_WQX-DEA115",44.0905,-115.60933
"122","1119USBR_WQX-DEA116",44.10532,-115.60207
"123","1119USBR_WQX-DEA151",44.29294,-115.6455
"124","1119USBR_WQX-DEA152",44.28993,-115.639666
"125","1119USBR_WQX-DEA159",44.275065,-115.635454
"126","1119USBR_WQX-DES106",44.5,-121.1541667
"127","1119USBR_WQX-DES107",44.4958333,-121.1583333
"128","1119USBR_WQX-DES118",43.7522222,-121.7802778
"129","1119USBR_WQX-DES119",43.6847222,-121.6855556
"130","1119USBR_WQX-DES120",45.1763889,-121.6833333
"131","1119USBR_WQX-DVO100",41.9618333,-115.9883316
"132","1119USBR_WQX-DVO101",41.9244982,-116.8363333
"133","1119USBR_WQX-DVO102",42.0351666,-116.2198332
"134","1119USBR_WQX-DVO103",42.0813332,-116.2813316
"135","1119USBR_WQX-DVO108",41.8731666,-116.0571666
"136","1119USBR_WQX-DVO111",41.8728316,-116.0206666
"137","1119USBR_WQX-DVO112",42.1438333,-115.9978316
"138","1119USBR_WQX-DVO114",42.0041666,-116.1178332
"139","1119USBR_WQX-DVO115",41.89054,-116.2535
"140","1119USBR_WQX-DVO116",41.92831,-116.238
"141","1119USBR_WQX-DVO118",42.0786666,-116.1236666
"142","1119USBR_WQX-DVO120",41.8589983,-115.9984983
"143","1119USBR_WQX-DVO121",42.0189999,-116.2086666
"144","1119USBR_WQX-DVO122",42.0113333,-116.1595
"145","1119USBR_WQX-DVO123",41.9264999,-116.0541666
"146","1119USBR_WQX-DVO124",41.8954983,-116.0633333
"147","1119USBR_WQX-DVO155",41.81053,-115.9547
"148","1119USBR_WQX-DVO160",41.78683,-115.943
"149","1119USBR_WQX-DVO161",41.81662,-115.984
"150","1119USBR_WQX-DVO162",41.80996,-115.956
"151","1119USBR_WQX-DVO164",41.74769,-115.92692
"152","1119USBR_WQX-DVO165",41.79083,-115.84361
"153","1119USBR_WQX-EMM010",44.0449056,-116.9292222
"154","1119USBR_WQX-EMM013",44.0713889,-116.9325
"155","1119USBR_WQX-EMM015",43.9231167,-116.4427472
"156","1119USBR_WQX-EMM017",44.027,-116.841
"157","1119USBR_WQX-EMM025",43.8963556,-116.6267361
"158","1119USBR_WQX-EMM100",43.9511816,-116.3479983
"159","1119USBR_WQX-EMM101",44.0054,-116.7717
"160","1119USBR_WQX-GAR002",43.9425,-116.1958333
"161","1119USBR_WQX-GAR003",44.0972222,-116.1069444
"162","1119USBR_WQX-GAR004",44.2666666,-116.0666666
"163","1119USBR_WQX-GAR049",44.6693,-116.1012
"164","1119USBR_WQX-GAR100",44.79,-116.145
"165","1119USBR_WQX-GAR101",44.5239444,-116.0433333
"166","1119USBR_WQX-GAR103",44.7919444,-116.0752777
